Frame ID,QR id,QR 2D,QR 3D
345,1,"[[499. 226.], [550. 231.], [546. 284.], [497. 279.]]","[0.868099718493813, 3.914326039977766, -5.980427244305827, 0]"
346,1,"[[605. 209.], [669. 216.], [665. 287.], [602. 277.]]","[0.6642658109787466, 10.798657417467325, -6.467421640655174, 0]"
347,1,"[[656. 202.], [724. 210.], [717. 285.], [650. 273.]]","[0.6414070495277504, 13.886779503937333, -6.771226527231116, 0]"
348,1,"[[665. 193.], [733. 202.], [724. 279.], [657. 266.]]","[0.6288787985269817, 14.358379503997526, -7.238088626803819, 0]"
349,1,"[[666. 186.], [736. 197.], [725. 275.], [656. 259.]]","[0.6206853062026656, 14.418537897028443, -7.590405874980409, 0]"
350,1,"[[668. 184.], [739. 196.], [726. 277.], [658. 259.]]","[0.6001989853421763, 14.530888952528016, -7.606120591685534, 0]"
351,1,"[[677. 186.], [750. 200.], [736. 281.], [666. 262.]]","[0.5941024672854798, 15.089634226226508, -7.40559982152719, 0]"
352,1,"[[688. 188.], [761. 203.], [747. 286.], [676. 265.]]","[0.5817519023640352, 15.715367414940374, -7.2061522320468505, 0]"
353,1,"[[703. 192.], [778. 208.], [763. 292.], [690. 271.]]","[0.5733855937486123, 16.614482605484852, -6.884677022891563, 0]"
354,1,"[[723. 195.], [802. 212.], [786. 297.], [711. 275.]]","[0.565058430831282, 17.8790219868159, -6.637351642413764, 0]"
355,1,"[[744. 198.], [825. 216.], [809. 303.], [732. 280.]]","[0.5529948288979022, 19.123623707807127, -6.360429797123167, 0]"
378,6,"[[453.  22.], [501.  24.], [499.  72.], [449.  69.]]","[0.983402238231549, 1.0148379377384913, -18.40093542670813, 0]"
379,6,"[[485.  21.], [536.  24.], [532.  72.], [483.  68.]]","[0.9656533205647085, 3.1037855099566514, -18.41026678258965, 0]"
380,6,"[[514.  29.], [564.  33.], [561.  82.], [511.  77.]]","[0.9596371392189074, 4.881179870366651, -17.93599538419136, 0]"
381,6,"[[539.  32.], [590.  35.], [584.  84.], [535.  80.]]","[0.9663118831217566, 6.394515107202579, -17.773892286548797, 0]"
382,6,"[[560.  30.], [611.  32.], [605.  82.], [556.  79.]]","[0.9698077959328757, 7.6931571080269805, -17.895064378148856, 0]"
383,6,"[[581.  28.], [631.  30.], [625.  81.], [576.  78.]]","[0.9810181598325781, 8.932259111623836, -18.005635413406132, 0]"
384,6,"[[598.  25.], [649.  27.], [645.  78.], [593.  75.]]","[0.9541011963937721, 10.037537815283656, -18.185997259785605, 0]"
385,6,"[[615.  23.], [668.  25.], [663.  76.], [610.  73.]]","[0.9335161710787203, 11.115647254108438, -18.307069425911372, 0]"
386,6,"[[632.  22.], [686.  24.], [681.  76.], [628.  73.]]","[0.9309720960963017, 12.18815941648765, -18.339192301036444, 0]"
387,6,"[[649.  26.], [702.  29.], [697.  81.], [644.  79.]]","[0.9430670085540267, 13.160373652672092, -18.05644325768959, 0]"
388,6,"[[662.  32.], [716.  34.], [712.  87.], [658.  85.]]","[0.9283430375579774, 13.992963978900434, -17.734096657397135, 0]"
389,6,"[[677.  35.], [732.  35.], [727.  90.], [673.  88.]]","[0.9303666636864028, 14.889044246327984, -17.5921944179519, 0]"
390,6,"[[692.  34.], [748.  35.], [742.  90.], [687.  88.]]","[0.9196005772376068, 15.767760837740752, -17.61094882812669, 0]"
391,6,"[[703.  33.], [760.  33.], [755.  89.], [698.  87.]]","[0.9013308752957373, 16.451628027405434, -17.687080191391093, 0]"
392,6,"[[716.  28.], [775.  27.], [769.  83.], [711.  82.]]","[0.887770004111122, 17.243378159722795, -18.00475772310471, 0]"
393,6,"[[729.  14.], [788.  13.], [781.  71.], [722.  70.]]","[0.8864966887429666, 17.943432060779116, -18.73746039382208, 0]"
397,3,"[[618. 117.], [630. 118.], [628. 128.], [617. 127.]]","[4.171567051070367, 10.141959378674528, -14.052344123586503, 0]"
398,3,"[[624. 119.], [635. 120.], [634. 131.], [623. 130.]]","[4.33746860024519, 10.491577533865893, -13.907357038532307, 0]"
405,3,"[[682. 166.], [693. 165.], [694. 176.], [682. 176.]]","[4.247539332465195, 14.01147310706014, -11.185299983313802, 0]"
408,3,"[[687. 153.], [699. 154.], [698. 165.], [686. 164.]]","[4.066395036072832, 14.296526997201994, -11.895664175807198, 0]"
409,3,"[[693. 152.], [704. 152.], [703. 164.], [692. 163.]]","[4.264340291750827, 14.621594101795893, -11.971550851308805, 0]"
414,3,"[[736. 167.], [749. 167.], [748. 178.], [736. 178.]]","[4.0322269962963775, 17.20343574469615, -11.091949610750639, 0]"
415,3,"[[744. 169.], [757. 169.], [757. 179.], [744. 180.]]","[3.9017092892004386, 17.677970754159105, -10.990021573022911, 0]"
416,3,"[[754. 167.], [766. 167.], [766. 178.], [753. 178.]]","[4.074215654326384, 18.208033790893296, -11.097934340341324, 0]"
417,3,"[[764. 169.], [777. 170.], [776. 181.], [763. 180.]]","[3.904046240563794, 18.790853182827192, -10.948983812507569, 0]"
421,3,"[[828. 160.], [842. 161.], [840. 173.], [827. 172.]]","[3.936582489355777, 22.3519988195483, -11.472571124732498, 0]"
475,3,"[[825. 245.], [843. 246.], [840. 261.], [824. 260.]]","[3.0955929394894675, 22.273996004483536, -6.163413152204207, 0]"
476,3,"[[816. 251.], [834. 251.], [833. 266.], [816. 266.]]","[3.008620626382863, 21.824289806934758, -5.819954180079823, 0]"
477,3,"[[809. 259.], [827. 260.], [824. 275.], [808. 273.]]","[3.0521444170294623, 21.398962148475675, -5.305025246878319, 0]"
478,3,"[[803. 266.], [820. 267.], [818. 282.], [801. 281.]]","[3.036691992947095, 21.04015173426646, -4.854831214684103, 0]"
479,3,"[[795. 275.], [812. 276.], [810. 291.], [793. 290.]]","[3.0149334198117264, 20.596158207827642, -4.2916130627814395, 0]"
480,3,"[[786. 284.], [803. 285.], [800. 301.], [784. 299.]]","[3.146193334776758, 20.080090151022148, -3.7107807817953318, 0]"
485,3,"[[806. 323.], [825. 326.], [823. 340.], [805. 338.]]","[2.774491750537484, 21.268245759942488, -1.2332932354742372, 0]"
486,3,"[[806. 326.], [824. 328.], [823. 343.], [805. 341.]]","[2.853833778543546, 21.255528584024574, -1.0646991620660993, 0]"
487,3,"[[806. 324.], [824. 326.], [822. 342.], [805. 340.]]","[2.9239460751832342, 21.240744033074208, -1.1557645592725883, 0]"
488,3,"[[805. 321.], [823. 323.], [821. 339.], [804. 337.]]","[2.9209023663862705, 21.185871931201206, -1.344104441214523, 0]"
489,3,"[[803. 318.], [821. 320.], [819. 336.], [801. 333.]]","[2.8438019723521726, 21.06206165042653, -1.5474536627841493, 0]"
